CountryKey,Country,ISO3,Region,SubRegion,Status
35,China,CHN,Asia,Eastern Asia,Developing
36,Colombia,COL,Americas,Latin America and the Caribbean,Developing
37,Comoros,COM,Africa,Sub-Saharan Africa,Developing
38,Congo,COG,Africa,Sub-Saharan Africa,Developing
39,Cook Islands,COK,Oceania,Polynesia,Developing
40,Costa Rica,CRI,Americas,Latin America and the Caribbean,Developing
41,Croatia,HRV,Europe,Southern Europe,Developed
42,Cuba,CUB,Americas,Latin America and the Caribbean,Developing
43,Cyprus,CYP,Asia,Western Asia,Developed
44,Czechia,CZE,Europe,Eastern Europe,Developed
45,Côte d'Ivoire,CIV,Africa,Sub-Saharan Africa,Developing
46,Democratic People's Republic of Korea,PRK,Asia,Eastern Asia,Developing
47,Democratic Republic of the Congo,COD,Africa,Sub-Saharan Africa,Developing
48,Denmark,DNK,Europe,Northern Europe,Developed
49,Djibouti,DJI,Africa,Sub-Saharan Africa,Developing
50,Dominica,DMA,Americas,Latin America and the Caribbean,Developing
51,Dominican Republic,DOM,Americas,Latin America and the Caribbean,Developing
52,Ecuador,ECU,Americas,Latin America and the Caribbean,Developing
53,Egypt,EGY,Africa,Northern Africa,Developing
54,El Salvador,SLV,Americas,Latin America and the Caribbean,Developing
55,Equatorial Guinea,GNQ,Africa,Sub-Saharan Africa,Developing
56,Eritrea,ERI,Africa,Sub-Saharan Africa,Developing
57,Estonia,EST,Europe,Northern Europe,Developing
58,Ethiopia,ETH,Africa,Sub-Saharan Africa,Developing
59,Fiji,FJI,Oceania,Melanesia,Developing
60,Finland,FIN,Europe,Northern Europe,Developing
61,France,FRA,Europe,Western Europe,Developing
62,Gabon,GAB,Africa,Sub-Saharan Africa,Developing
63,Gambia,GMB,Africa,Sub-Saharan Africa,Developing
64,Georgia,GEO,Asia,Western Asia,Developing
65,Germany,DEU,Europe,Western Europe,Developed
66,Ghana,GHA,Africa,Sub-Saharan Africa,Developing
67,Greece,GRC,Europe,Southern Europe,Developing
68,Grenada,GRD,Americas,Latin America and the Caribbean,Developing
69,Guatemala,GTM,Americas,Latin America and the Caribbean,Developing
70,Guinea,GIN,Africa,Sub-Saharan Africa,Developing
71,Guinea-Bissau,GNB,Africa,Sub-Saharan Africa,Developing
72,Guyana,GUY,Americas,Latin America and the Caribbean,Developing
73,Haiti,HTI,Americas,Latin America and the Caribbean,Developing
74,Honduras,HND,Americas,Latin America and the Caribbean,Developing
75,Hungary,HUN,Europe,Eastern Europe,Developed
76,Iceland,ISL,Europe,Northern Europe,Developed
77,India,IND,Asia,Southern Asia,Developing
78,Indonesia,IDN,Asia,South-eastern Asia,Developing
79,Iran (Islamic Republic of),IRN,Asia,Southern Asia,Developing
80,Iraq,IRQ,Asia,Western Asia,Developing
81,Ireland,IRL,Europe,Northern Europe,Developed
82,Israel,ISR,Asia,Western Asia,Developing
83,Italy,ITA,Europe,Southern Europe,Developed
84,Jamaica,JAM,Americas,Latin America and the Caribbean,Developing
85,Japan,JPN,Asia,Eastern Asia,Developed
86,Jordan,JOR,Asia,Western Asia,Developing
87,Kazakhstan,KAZ,Asia,Central Asia,Developing
88,Kenya,KEN,Africa,Sub-Saharan Africa,Developing
89,Kiribati,KIR,Oceania,Micronesia,Developing
90,Kuwait,KWT,Asia,Western Asia,Developing
91,Kyrgyzstan,KGZ,Asia,Central Asia,Developing
92,Lao People's Democratic Republic,LAO,Asia,South-eastern Asia,Developing
93,Latvia,LVA,Europe,Northern Europe,Developed
94,Lebanon,LBN,Asia,Western Asia,Developing
95,Lesotho,LSO,Africa,Sub-Saharan Africa,Developing
96,Liberia,LBR,Africa,Sub-Saharan Africa,Developing
